dataset,id,algo_name,vertices,execute_time_ms,operation_count,total_cost
small_graphs,1,Kruskal,14,0.8306,47,233.20999999999998
small_graphs,1,Prim,14,2.4202,32,233.20999999999998
small_graphs,2,Kruskal,15,0.1255,46,109.22
small_graphs,2,Prim,15,0.0948,30,109.22
small_graphs,3,Kruskal,10,0.0439,31,141.43
small_graphs,3,Prim,10,0.0465,21,141.43
small_graphs,4,Kruskal,25,0.1516,86,322.77
small_graphs,4,Prim,25,0.5278,61,322.7699999999999
small_graphs,5,Kruskal,13,0.068,36,384.10999999999996
small_graphs,5,Prim,13,0.0719,23,384.10999999999996
medium_graphs,1,Kruskal,203,14.4568,1136,427.5099999999999
medium_graphs,1,Prim,203,6.0245,933,427.51
medium_graphs,2,Kruskal,46,0.4425,237,278.84999999999997
medium_graphs,2,Prim,46,0.2165,180,278.85
medium_graphs,3,Kruskal,201,3.7119,1428,422.19999999999993
medium_graphs,3,Prim,201,2.6839,1228,422.1999999999999
medium_graphs,4,Kruskal,243,4.5744,1980,497.37
medium_graphs,4,Prim,243,2.9639,1737,497.3700000000002
medium_graphs,5,Kruskal,244,5.6271,1927,483.4600000000003
medium_graphs,5,Prim,244,2.596,1682,483.46000000000015
medium_graphs,6,Kruskal,201,3.7934,2018,441.6
medium_graphs,6,Prim,201,2.353,1818,441.59999999999997
medium_graphs,7,Kruskal,124,1.4504,1021,338.05000000000007
medium_graphs,7,Prim,124,0.7793,897,338.0500000000001
medium_graphs,8,Kruskal,274,10.5834,2075,500.03999999999996
medium_graphs,8,Prim,274,6.2042,1800,500.04000000000013
medium_graphs,9,Kruskal,104,1.2567,685,347.71000000000004
medium_graphs,9,Prim,104,0.8935,581,347.71000000000004
medium_graphs,10,Kruskal,183,5.3104,1318,428.1399999999999
medium_graphs,10,Prim,183,2.473,1137,428.14
large_graphs,1,Kruskal,759,36.7189,5352,991.8100000000002
large_graphs,1,Prim,759,85.1009,4602,991.8099999999985
large_graphs,2,Kruskal,659,38.6152,4804,896.4500000000002
large_graphs,2,Prim,659,26.8378,4149,896.4499999999998
large_graphs,3,Kruskal,621,31.887,4408,854.8999999999996
large_graphs,3,Prim,621,15.6635,3794,854.9000000000001
large_graphs,4,Kruskal,765,56.2552,5298,987.2600000000004
large_graphs,4,Prim,765,27.2666,4534,987.2599999999992
large_graphs,5,Kruskal,987,70.1314,6864,1234.6200000000001
large_graphs,5,Prim,987,40.6618,5846,1234.6199999999974
large_graphs,6,Kruskal,554,24.0797,5457,798.4299999999997
large_graphs,6,Prim,554,11.5218,4912,798.4299999999994
large_graphs,7,Kruskal,625,23.7093,5082,873.4999999999999
large_graphs,7,Prim,625,14.9545,4451,873.5000000000002
large_graphs,8,Kruskal,384,7.1287,3725,634.17
large_graphs,8,Prim,384,3.947,3343,634.1700000000002
large_graphs,9,Kruskal,968,61.8364,8051,1203.2000000000032
large_graphs,9,Prim,968,44.187,7069,1203.199999999999
large_graphs,10,Kruskal,526,19.5654,4561,760.3900000000001
large_graphs,10,Prim,526,8.6442,4037,760.3899999999999
extra_large_graphs,1,Kruskal,1936,351.109,16001,2171.370000000034
extra_large_graphs,1,Prim,1936,178.9646,14032,2171.3700000000126
extra_large_graphs,2,Kruskal,1570,174.5474,16323,1810.3600000000145
extra_large_graphs,2,Prim,1570,114.9133,14796,1810.3599999999915
extra_large_graphs,3,Kruskal,1672,191.5042,14359,1901.050000000043
extra_large_graphs,3,Prim,1672,134.1639,12748,1901.050000000002
